N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,Error
14,14,3938.57853670039,281.327038335742,0.1477956,1,3076.57853670039,121,665,76,539.27433845568,
15,15,3869.18715693229,257.945810462153,0.1400381,1,3025.18715693229,118,645,81,249.151180055734,
10,10,3808.99365209146,380.899365209146,0.1353881,1,2821.99365209146,149,785,53,390.046831532523,
10,10,3734.81093802946,373.481093802946,0.1391194,1,2769.81093802946,145,770,50,0,
16,16,3709.56709747158,231.847943591974,0.1422595,1,2873.56709747158,117,630,89,0,
13,13,3793.27238029881,291.790183099909,0.1394298,1,2920.27238029881,130,675,68,0,
12,12,3629.04638162201,302.420531801834,0.1398273,1,2793.04638162201,122,645,69,0,
10,10,3564.86364995969,356.486364995969,0.1362034,1,2572.86364995969,148,785,59,340.924138136129,
11,11,3835.55567791517,348.68687981047,0.1337863,1,2993.55567791517,124,660,58,0,
10,10,3494.58872196854,349.458872196854,0.1364192,1,2485.58872196854,154,805,50,0,
12,12,3984.30832704219,332.025693920183,0.1434728,1,3035.30832704219,137,740,72,172.029368833528,
13,13,4139.80570708487,318.446592852682,0.1427529,1,3167.80570708487,143,755,74,0,
15,15,4061.30690584685,270.753793723124,0.142287,1,3132.30690584685,134,720,75,216.342923589519,
13,13,3708.78813237716,285.291394798243,0.1438059,1,2808.78813237716,135,700,65,0,
10,10,3484.13770508579,348.413770508579,0.1375439,1,2409.13770508579,166,850,59,325.60263880164,
15,15,3876.09705296806,258.406470197871,0.1414099,1,3061.09705296806,114,620,81,261.962128137948,
13,13,3525.15271576515,271.165593520396,0.1359652,1,2723.15271576515,119,615,68,0,
16,16,3548.91121572004,221.806950982502,0.1486255,1,2731.91121572004,116,615,86,0,
15,15,3569.99023371645,237.99934891443,0.148557,1,2721.99023371645,122,645,81,93.6605953025069,
16,16,4073.87124914588,254.616953071617,0.1459653,1,3252.87124914588,115,620,86,0,
11,11,3887.70967678031,353.428152434573,0.147155,1,2895.70967678031,149,785,58,207.520817845233,
11,11,3149.05859344935,286.278053949941,0.1409208,1,2303.05859344935,125,660,61,549.712045867693,
11,11,3327.28971307788,302.48088300708,0.1430107,1,2360.28971307788,144,765,58,216.095720239257,
11,11,3865.71495323233,351.42863211203,0.1391355,1,2824.71495323233,155,825,61,0,
