Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
53,base,,14,14,4259.2405620295,304.231468716393,0.139092291666667,1,3173.2405620295,156,845,85,0,NaN
53,optimized,,14,14,4259.2405620295,304.231468716393,0.141245083333333,1,3173.2405620295,156,845,85,0,1500
54,base,,15,15,4417.90377213273,294.526918142182,0.142411125,1,3111.90377213273,187,1020,99,30,NaN
54,optimized,,15,15,4417.90377213273,294.526918142182,0.14735625,1,3111.90377213273,187,1020,99,30,1500
55,base,,10,10,3795.67188082821,379.567188082821,0.137531291666667,1,2445.6718808282,204,1090,56,60,NaN
55,optimized,,10,10,3735.67188082821,373.567188082821,0.135766166666667,1,2445.6718808282,194,1040,56,0,1500
56,base,,15,15,4359.95845482405,290.66389698827,0.144352041666667,1,3085.95845482405,187,1000,87,0,NaN
56,optimized,,15,15,4359.95845482405,290.66389698827,0.149032875,1,3085.95845482405,187,1000,87,0,1500
57,base,,12,12,4170.5118936999,347.542657808325,0.144626791666667,1,2839.5118936999,200,1065,66,0,NaN
57,optimized,,12,12,4170.5118936999,347.542657808325,0.143616583333333,1,2839.5118936999,200,1065,66,0,1500
58,base,,15,15,4040.11669649136,269.341113099424,0.130886166666667,1,2849.11669649136,171,930,90,215.893321232424,NaN
58,optimized,,15,15,4040.11669649136,269.341113099424,0.135560208333333,1,2849.11669649136,171,930,90,215.893321232424,1500
59,base,,11,11,3749.21524088351,340.837749171229,0.126889666666667,1,2537.21524088352,181,970,61,289.207067353056,NaN
59,optimized,,11,11,3749.21524088351,340.837749171229,0.137879666666667,1,2537.21524088352,181,970,61,289.207067353056,1500
60,base,,12,12,4074.7282698879,339.560689157325,0.129323875,1,2828.7282698879,185,995,66,155.428262721194,NaN
60,optimized,,12,12,3919.3000071667,326.608333930559,0.140552916666667,1,2768.3000071667,170,915,66,0,1500
61,base,,10,10,3695.20249137385,369.520249137385,0.13178825,1,2593.20249137385,166,880,56,369.581036791282,NaN
61,optimized,,10,10,3695.20249137385,369.520249137385,0.139341166666667,1,2593.20249137385,166,880,56,369.581036791282,1500
62,base,,14,14,4359.82989367271,311.416420976622,0.133015958333333,1,3121.82989367271,181,975,82,0,NaN
62,optimized,,14,14,4359.82989367271,311.416420976622,0.136651375,1,3121.82989367271,181,975,82,0,1500
63,base,,14,14,4072.46392032802,290.89028002343,0.14082325,1,2889.46392032802,174,930,79,0,NaN
63,optimized,,14,14,4072.46392032802,290.89028002343,0.156655,1,2889.46392032802,174,930,79,0,1500
64,base,,16,16,4646.79783396042,290.424864622526,0.220971958333333,1,3334.79783396042,191,1035,86,0,NaN
