Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
81,base,,14,14,3782.3301418397,270.166438702836,0.117529125,1,2942.3301418397,122,645,73,0,NaN
81,optimized,,14,14,3370.19697407944,240.728355291389,0.129557333333333,1,2483.19697407944,129,685,73,218.068481215968,1200
82,base,,15,15,3641.39790155662,242.759860103775,0.121278375,1,2655.39790155662,142,760,84,0,NaN
82,optimized,,15,15,3547.47539885598,236.498359923732,0.1164475,1,2579.47539885598,142,745,81,0,1200
83,base,,14,14,3301.03819105771,235.788442218408,0.113505208333333,1,2272.03819105771,150,800,79,218.235254243853,NaN
83,optimized,,14,14,3501.93736405536,250.138383146811,0.117242375,1,2623.93736405536,127,675,76,206.065573858148,1200
84,base,,12,12,3668.3051053187,305.692092109892,0.109035541666667,1,2757.30510531871,133,715,63,48,NaN
84,optimized,,12,12,3350.86002847558,279.238335706298,0.10357575,1,2560.86002847558,115,615,60,0,1200
85,base,,10,10,3413.19654691946,341.319654691946,0.101442041666667,1,2415.19654691946,154,785,59,765.591735347767,NaN
85,optimized,,10,10,3036.62914546784,303.662914546784,0.116475875,1,2065.62914546784,147,765,59,0,1200
86,base,,16,16,3523.27063622226,220.204414763891,0.125837416666667,1,2661.27063622226,124,655,83,0,NaN
86,optimized,,16,16,3044.72210112347,190.295131320217,0.111433916666667,1,2354.72210112347,97,510,83,0,1200
87,base,,11,11,3640.52876792189,330.957160720172,0.10478125,1,2677.52876792189,143,765,55,667.830747794341,NaN
87,optimized,,11,11,3428.58096357381,311.68917850671,0.109748083333333,1,2383.58096357381,157,830,58,629.876882007539,1320
88,base,,15,15,3831.38526769765,255.425684513176,0.10359075,1,2935.38526769765,131,690,75,192.827072854599,NaN
88,optimized,,15,15,3733.65858130719,248.910572087146,0.109090875,1,2986.65858130719,106,560,81,0,1200
89,base,,10,10,3227.12327461077,322.712327461077,0.0998022083333333,1,2212.12327461077,154,805,56,256.544748074954,NaN
89,optimized,,10,10,3170.48266381424,317.048266381424,0.108276583333333,1,2172.48266381424,150,795,53,60,1260
90,base,,12,12,3541.15928560373,295.096607133644,0.108985,1,2533.15928560373,148,800,60,160.665198738166,NaN
90,optimized,,12,12,3472.63535875985,289.386279896654,0.130589208333333,1,2430.63535875985,152,815,75,210.199372598021,1200
91,base,,15,15,3654.53579655557,243.635719770371,0.125371458333333,1,2802.53579655557,123,645,84,0,NaN
91,optimized,,15,15,3360.21253360098,224.014168906732,0.121329,1,2676.21253360098,98,505,81,0,1200
92,base,,10,10,3427.90928233556,342.790928233556,0.11478675,1,2412.90928233556,154,805,56,0,NaN
92,optimized,,10,10,3221.80424943705,322.180424943705,0.118531541666667,1,2421.80424943705,119,625,56,0,1260
93,base,,14,14,3487.7576192306,249.125544230757,0.126132958333333,1,2489.7576192306,145,780,73,135.900898328698,NaN
93,optimized,,14,14,3616.05379940001,258.2895571,0.123729,1,2765.05379940001,123,655,73,0,1200
94,base,,12,12,3644.23822821518,303.686519017931,0.112937333333333,1,2870.23822821518,113,595,66,48,NaN
94,optimized,,12,12,3418.69949226597,284.891624355497,0.124944333333333,1,2631.69949226597,117,610,60,0,1200
95,base,,16,16,4114.2605587706,257.141284923163,0.128818083333333,1,3251.2605587706,120,660,83,0,NaN
95,optimized,,16,16,3281.01912321978,205.063695201236,0.135983916666667,1,2412.01912321978,121,665,83,0,1200
96,base,,10,10,3823.83631221422,382.383631221422,0.111680375,1,2963.83631221422,129,675,56,0,NaN
96,optimized,,10,10,3399.76583203582,339.976583203582,0.114408083333333,1,2603.76583203582,120,620,56,0,1320
97,base,,16,16,4028.14926562419,251.759329101512,0.123590791666667,1,3139.14926562419,126,680,83,0,NaN
97,optimized,,16,16,3493.1057600978,218.319110006112,0.118273166666667,1,2599.1057600978,128,680,86,0,1200
98,base,,16,16,3769.18983187712,235.57436449232,0.111057291666667,1,2860.18983187712,131,695,83,0,NaN
98,optimized,,16,16,3899.5346923874,243.720918274212,0.117068125,1,3011.5346923874,125,680,83,0,1320
99,base,,10,10,3388.01018923272,338.801018923272,0.105804666666667,1,2413.01018923272,146,770,59,772.171844907732,NaN
99,optimized,,10,10,3157.56468692788,315.756468692788,0.115441625,1,2277.56468692788,130,700,50,397.641093666016,1200
100,base,,13,13,4257.26959617842,327.482276629109,0.106327541666667,1,3157.26959617842,162,870,68,136.298350942297,NaN
100,optimized,,13,13,3306.29252540956,254.330194262274,0.112364375,1,2488.29252540956,120,630,68,0,1200
101,base,,12,12,4000.14557363356,333.345464469463,0.109898125,1,2953.14557363356,153,825,69,369.28456484996,NaN
101,optimized,,12,12,3213.10867754409,267.759056462007,0.109631458333333,1,2367.10867754409,126,660,60,0,1200
102,base,,14,14,3828.73537624518,273.481098303227,0.113191833333333,1,2994.73537624518,121,640,73,35,NaN
102,optimized,,14,14,3758.49265989518,268.463761421084,0.114764041666667,1,2768.49265989518,147,770,73,0,1200
103,base,,10,10,3387.23333507945,338.723333507945,0.109544458333333,1,2486.23333507945,135,710,56,969.729560138197,NaN
103,optimized,,10,10,3219.49975742151,321.949975742151,0.115661041666667,1,2353.49975742151,127,680,59,852.886952832982,1200
104,base,,10,10,3620.8300956024,362.08300956024,0.1093255,1,2651.8300956024,146,770,53,354.776325459468,NaN
104,optimized,,10,10,3186.58498828852,318.658498828852,0.116392875,1,2244.58498828852,141,745,56,0,1200
105,base,,12,12,3850.36318439945,320.863598699954,0.118742333333333,1,2977.36318439945,129,675,69,0,NaN
105,optimized,,12,12,3706.27653913453,308.856378261211,0.113764208333333,1,2831.27653913453,129,680,66,0,1380
106,base,,11,11,3672.12004513772,333.82909501252,0.112247583333333,1,2661.12004513772,151,805,55,379.091682517652,NaN
106,optimized,,11,11,3383.92135259183,307.629213871984,0.111428708333333,1,2471.92135259183,134,720,58,142.516071995183,1200
107,base,,11,11,4080.62495296736,370.965904815214,0.10900575,1,3048.62495296736,151,820,61,412.704981276,NaN
107,optimized,,11,11,3237.00097431234,294.272815846576,0.116461916666667,1,2431.00097431234,118,630,58,0,1200
108,base,,10,10,3972.88155367558,397.288155367558,0.136175791666667,1,2948.88155367558,153,815,56,0,NaN
108,optimized,,10,10,3429.19114829223,342.919114829223,0.118900208333333,1,2547.19114829223,132,700,50,304.808986943208,1200
109,base,,15,15,3798.4391072838,253.22927381892,0.117761916666667,1,2905.4391072838,124,685,84,143.38793358129,NaN
109,optimized,,15,15,3893.10252888522,259.540168592348,0.121995833333333,1,3081.10252888522,114,620,78,77.1005127723092,1200
110,base,,15,15,4129.52154908269,275.301436605513,0.109307208333333,1,3246.52154908269,127,675,81,201.197643854762,NaN
110,optimized,,15,15,3321.70058278473,221.446705518982,0.116510541666667,1,2380.70058278473,138,725,78,0,1200
111,base,,15,15,3947.32153011725,263.154768674483,0.111152375,1,3011.32153011725,134,715,87,296.498041001046,NaN
111,optimized,,15,15,3450.91702758631,230.061135172421,0.111013541666667,1,2637.91702758631,115,620,78,266.35468578889,1200
112,base,,14,14,3937.47900557888,281.248500398491,0.118390208333333,1,2746.47900557888,178,940,73,277.802416451709,NaN
112,optimized,,14,14,3453.34063476337,246.667188197384,0.11422225,1,2535.34063476337,134,705,79,0,1200
113,base,,13,13,3617.34209780126,278.257084446251,0.123927375,1,2829.34209780126,113,610,65,0,NaN
