N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
10,1,10,6662.09400202813,666.209400202813,0.119240083333333,1,4276.09400202813,362,1920,104,303.722445582989,25,0,3,40,3216.77497282061,1059.31902920752,
13,4,13,7075.3353658984,544.256566607569,0.122140083333333,1,4876.3353658984,315,1690,194,165.676972732283,25,0,5,49,3083.20616342353,1793.12920247487,
10,3,10,6654.54891937909,665.454891937909,0.122956833333333,1,4394.54891937909,339,1820,101,0,25,0,4,38,3245.71623070619,1148.8326886729,
12,1,12,6162.48184331645,513.540153609704,0.123044958333333,1,4087.48184331644,301,1615,159,232.521902692595,25,0,5,42,3024.20600943497,1063.27583388147,
12,10,12,7035.06827250299,586.255689375249,0.129803708333333,1,4678.06827250299,339,1820,198,831.993698602278,25,0,6,37,2843.61193991502,1834.45633258797,
15,5,15,7038.78343236628,469.252228824419,0.140564375,1,5073.78343236628,274,1505,186,735.300149096178,25,0,5,52,3231.60702429111,1842.17640807517,
11,4,11,6931.2609520641,630.114632005827,0.1587145,1,4432.2609520641,375,1985,139,441.506510911463,25,0,3,49,3267.95700369297,1164.30394837113,
15,5,15,7582.34292282915,505.48952818861,0.120029333333333,1,5279.34292282916,324,1745,234,0,25,0,7,49,3199.98469836991,2079.35822445924,
10,9,10,7547.61520076956,754.761520076956,0.118561291666667,1,4996.61520076956,381,2015,155,0,25,0,4,39,3294.36637594691,1702.24882482264,
13,9,13,6609.86431288593,508.451100991225,0.235724583333333,1,4356.86431288593,323,1745,185,76.2903104552197,25,0,9,34,3111.75756144464,1245.10675144128,
12,6,12,6612.47978818878,551.039982349065,0.142008708333333,1,4463.47978818878,320,1715,114,658.870760664515,25,0,2,46,3074.27149138227,1389.20829680651,
11,5,11,6708.28629787889,609.844208898081,0.176632625,1,4387.28629787889,349,1860,112,659.277382956183,25,0,3,40,2953.54369189738,1433.74260598151,
16,3,16,6554.52087324518,409.657554577824,0.178398208333333,1,4522.52087324519,289,1555,188,0,25,0,3,65,2866.5098398748,1656.01103337038,
10,3,10,6985.10871921124,698.510871921124,0.142170291666667,1,4459.10871921125,369,1960,197,132.022648004744,25,0,7,28,3067.56389757721,1391.54482163404,
16,15,16,6319.71152295029,394.981970184393,0.130834541666667,1,4352.71152295029,277,1490,200,0,21,0,7,45,2360.10972951306,1992.60179343723,
15,5,15,6932.50998807201,462.167332538134,0.126209083333333,1,4776.50998807201,293,1575,288,160.994250921535,25,0,9,47,2736.7277451271,2039.7822429449,
12,5,12,6535.17038794021,544.597532328351,0.128269791666667,1,4299.17038794021,332,1775,129,105.625179297362,25,0,3,44,3263.80637276065,1035.36401517956,
13,8,13,7023.55915680392,540.273781292609,0.114451333333333,1,4843.55915680392,311,1675,194,713.727153780307,25,0,6,43,3315.12875669151,1528.43040011241,
10,5,10,6555.59779184697,655.559779184697,0.113349916666667,1,4401.59779184697,311,1685,158,2506.02813820157,25,0,7,30,3308.00757106563,1093.59022078134,
16,3,16,4917.38681000703,307.336675625439,0.122266541666667,1,3437.38681000703,204,1115,161,0,20,0,4,61,2128.06836417726,1309.31844582977,
13,8,13,7075.47187184684,544.267067065142,0.114462625,1,4879.47187184684,311,1685,200,407.449235936885,25,0,8,38,3212.06184615649,1667.41002569034,
11,6,11,6858.16162610757,623.469238737052,0.124320708333333,1,4533.16162610757,348,1865,112,744.401413641446,25,0,3,35,3195.56714235161,1337.59448375596,
12,10,12,7247.71610100464,603.976341750387,0.117060375,1,4891.71610100464,339,1825,192,256.766668177388,25,0,9,35,3227.31185534759,1664.40424565706,
13,1,13,7149.58459054852,549.96804542681,0.117202333333333,1,4858.58459054852,329,1765,197,295.328844174057,25,0,4,51,3123.14462320732,1735.4399673412,
12,7,12,6700.61682029538,558.384735024615,0.116395333333333,1,4453.61682029538,338,1795,114,166.080674775293,25,0,4,38,3118.16411914711,1335.45270114827,
13,1,13,6681.32469638168,513.948053567822,0.116586875,1,4744.32469638168,273,1485,179,875.073842491776,25,0,5,46,3095.79547007373,1648.52922630795,
13,3,13,6333.32322314988,487.178709473067,0.108289083333333,1,4288.32322314988,289,1565,191,1145.10605545215,25,0,7,42,3156.94725233307,1131.37597081681,
