Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
18,20,1,1864.12178345779,2150.0395879996,164.991524382006,285.917804541811
18,2,0,11,2986.71697805159,836.677390051991,2975.71697805159
18,11,1,480.621655015021,3020.77163067372,34.054652622131,2540.1499756587
18,8,0,462.621655015021,3405.37863498528,384.607004311558,2942.75697997026
18,10,1,691.972892153979,4144.17875734416,738.800122358878,3452.20586519018
18,4,1,5003.93859216361,5284.85919424774,1140.68043690358,280.920602084127
18,18,1,1447.41930917987,5709.40890104929,424.549706801554,4261.98959186942
18,12,1,1622.77054631883,5803.5624033486,94.1535022993048,4180.79185702977
18,7,1,5894.8780972618,6203.07457390071,399.512170552112,308.19647663891
19,9,0,53,402.20821005744,402.20821005744,349.20821005744
19,4,1,690.596672792531,982.717926202087,580.509716144646,292.121253409555
19,6,1,1953.22851208326,2257.70950543805,1274.99157923596,304.480993354785
19,20,0,1323.0704967903,2360.7572736978,103.047768259754,1037.6867769075
19,19,0,1623.14950443678,2503.67218165743,142.914907959622,880.522677220642
19,11,0,65,2949.6354952315,445.963313574072,2884.6354952315
19,8,0,47,3053.35269883133,103.717203599827,3006.35269883133
19,12,0,71,3068.77724416762,15.4245453362923,2997.77724416762
19,2,0,11,3331.9613264897,263.184082322084,3320.9613264897
19,5,1,2588.53650973194,3972.36479725218,640.403470762479,1383.82828752025
19,3,0,1941.22851208326,4146.64183586909,174.277038616908,2205.41332378582
19,15,0,2001.22851208326,4215.73487889898,69.0930430298931,2214.50636681572
19,16,0,3637.7596764089,4854.54645824286,638.811579343882,1216.78678183397
19,14,1,744.596672792531,6017.31197408355,1162.76551584068,5272.71530129101
19,10,1,5514.28519412557,6303.4832832701,286.171309186557,789.198089144535
20,8,0,1654.10742283375,1898.76074619537,1898.76074619537,244.65332336162
20,3,0,2571.68170213634,3071.60800807549,1172.84726188013,499.926305939156
20,13,0,77,3826.23400965524,754.62600157975,3749.23400965524
20,2,0,11,3990.23800515709,164.003995501843,3979.23800515709
20,4,1,23,4243.7081948641,253.470189707016,4220.7081948641
20,11,1,65,4473.40190937072,229.69371450662,4408.40190937072
20,16,1,4949.45535747622,5083.34268527736,609.940775906639,133.887327801138
20,7,0,356,5338.84820242253,255.50551714517,4982.84820242253
20,14,0,83,5361.28598164141,22.4377792188779,5278.28598164141
20,6,0,784.702474277916,6136.4864777819,775.200496140489,5351.78400350398
20,17,1,1496.75618569479,6489.75444115264,353.26796337074,4992.99825545785
21,8,1,47,417.49226634304,417.49226634304,370.49226634304
21,3,0,915.189295280571,1356.39505712639,938.902790783352,441.20576184582
21,19,0,897.189295280571,1404.82062676486,48.4255696384701,507.63133148429
21,20,0,1005.18929528057,1541.29567378555,136.475047020692,536.106378504983
21,10,1,2423.58913388015,2717.30857980054,1176.01290601498,293.719445920384
21,17,1,564.486821002656,3387.96053420654,670.651954405999,2823.47371320388
21,4,0,23,4261.23895609742,873.278421890882,4238.23895609742
21,6,0,35,4350.50357165732,89.264615559905,4315.50357165732
21,9,1,1949.58913388015,4942.53091818816,592.027346530838,2992.94178430801
21,12,0,71,5357.80920131417,415.278283126006,5286.80920131417
21,1,0,3506.31315476812,6737.45251370851,1379.64331239434,3231.13935894039
21,2,0,480.486821002656,6817.89394725092,80.441433542419,6337.40712624827
21,11,0,3548.31315476812,6967.10367182966,149.209724578734,3418.79051706154
21,18,0,3584.31315476812,6976.93786277221,9.83419094255078,3392.62470800409
21,13,1,6627.20875978762,7582.34292282915,605.405060056944,955.134163041539
22,7,1,41,430.989437382301,430.989437382301,389.989437382301
22,16,1,95,1173.3101258608,742.320688478503,1078.3101258608
22,18,1,1720.61389299614,1868.33924778806,695.029121927254,147.725354791918
22,1,1,728.43487261986,2930.12215151248,1061.78290372442,2201.68727889262
22,5,1,752.43487261986,3542.18754235706,612.06539084458,2789.7526697372
22,8,0,1461.26265585718,5328.70716627242,1786.51962391536,3867.44451041524
22,9,1,1672.61389299614,6039.13528195406,710.428115681641,4366.52138895792
22,4,1,4533.84041208298,6477.70454977724,438.569267823171,1943.86413769426
22,15,1,6702.3954326119,7277.32834284753,799.623793070292,574.932910235627
22,19,1,933.786109758818,7547.61520076956,270.286857922029,6613.82909101074
23,6,1,35,245.87544585792,245.87544585792,210.87544585792
23,5,0,29,286.096303664631,40.2208578067107,257.096303664631
23,18,0,107,948.325357697815,662.229054033184,841.325357697815
23,2,0,11,1609.76064784014,661.435290142326,1598.76064784014
23,8,1,1759.88345266345,2115.5851086799,505.824460839758,355.701656016451
23,16,1,95,2325.33903458343,209.753925903528,2230.33903458343
23,20,1,2696.81612082155,2885.06836511002,559.729330526598,188.252244288477
23,17,1,4386.73541646546,4517.31287640532,1632.24451129529,130.577459939854
23,12,1,4362.73541646546,4659.71265009929,142.399773693971,296.977233633825
23,3,1,1249.15867179335,4831.54256095696,171.829910857673,3582.38388916361
23,15,1,5011.14752593291,5148.72498587276,317.182424915799,137.577459939854
23,10,0,437.575267618021,6185.55463341864,1036.82964754588,5747.97936580062
23,1,1,395.575267618021,6533.57400243071,348.01936901207,6137.99873481269
24,8,0,47,334.054874581597,334.054874581597,287.054874581597
24,20,0,119,1145.15603596693,811.101161385331,1026.15603596693
24,5,1,29,1676.23072783363,531.074691866701,1647.23072783363
24,7,0,41,1712.63612610487,36.4053982712373,1671.63612610487
24,3,0,17,2058.18607320763,345.549947102762,2041.18607320763
