Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
23,base,,13,11,13,7816.15057876542,601.242352212724,0.138471375,1,5119.15057876542,382,2055,260,25,0,10,18,3423.15281732782,1695.9977614376,NaN,NaN
23,split,,13,11,13,7816.15057876542,601.242352212724,0.131693875,1,5119.15057876542,382,2055,260,25,0,10,18,3423.15281732782,1695.9977614376,10,0
24,base,,13,4,13,7111.80408229614,547.061852484319,0.142778333333333,1,4972.80408229615,296,1595,248,25,0,7,27,3385.8872778124,1586.91680448375,NaN,NaN
24,split,,13,4,13,7068.23938013347,543.710721548728,0.138069625,1,4972.23938013347,294,1590,212,25,0,6,26,3387.835037039,1584.40434309447,2,0
25,base,,15,13,15,8447.05631337312,563.137087558208,0.137344416666667,1,5630.05631337313,379,2045,393,25,0,13,21,3328.44435506719,2301.61195830594,NaN,NaN
25,split,,15,13,15,8447.05631337312,563.137087558208,0.1690945,1,5630.05631337313,379,2045,393,25,0,13,21,3328.44435506719,2301.61195830594,5,0
26,base,,12,8,12,7098.40988537165,591.534157114304,0.140338541666667,1,4884.40988537166,296,1600,318,25,0,12,17,3179.30803115269,1705.10185421896,NaN,NaN
26,split,,12,8,12,7117.49334420795,593.124445350663,0.13423975,1,4897.49334420795,297,1605,318,25,0,11,18,3179.30803115269,1718.18531305526,6,1
27,base,,11,9,11,7739.78938190139,703.61721653649,0.126683875,1,4752.78938190139,431,2285,271,25,0,9,18,3427.75655487,1325.03282703139,NaN,NaN
27,split,,11,9,11,7683.41459404801,698.492235822546,0.123006166666667,1,4714.41459404801,432,2290,247,25,0,9,18,3427.75655487,1286.65803917801,4,1
28,base,,12,7,12,7422.42296138134,618.535246781778,0.128221333333333,1,4898.42296138134,358,1905,261,25,0,9,20,3144.9925385833,1753.43042279804,NaN,NaN
28,split,,12,7,12,7278.46449691122,606.538708075935,0.128567083333333,1,4763.46449691123,357,1900,258,25,0,9,19,3146.07499555595,1617.38950135527,6,0
29,base,,14,4,14,6773.68610032054,483.834721451467,0.122667375,1,4672.68610032054,274,1490,337,25,0,12,26,2766.36833051587,1906.31776980467,NaN,NaN
29,split,,14,4,14,6773.68610032054,483.834721451467,0.122132458333333,1,4672.68610032054,274,1490,337,25,0,12,26,2766.36833051587,1906.31776980467,2,0
30,base,,14,8,14,7989.20385503382,570.657418216701,0.128837708333333,1,5630.20385503382,306,1650,403,25,0,13,21,3320.03540773575,2310.16844729807,NaN,NaN
30,split,,14,8,14,7978.63895609036,569.902782577883,0.12720825,1,5630.63895609037,303,1645,400,25,0,13,20,3320.40080551828,2310.23815057209,3,0
