Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
16,split,,10,3,10,6572.38658637525,657.238658637525,0.133269541666667,1,4356.38658637525,340,1820,56,25,0,1,40,3381.22483960983,975.161746765427,0,0
17,base,,12,1,12,6163.88261654938,513.656884712448,0.131110041666667,1,4088.88261654939,301,1615,159,25,0,5,42,3028.02552627848,1060.85709027091,NaN,NaN
17,split,,12,1,12,6146.74943627598,512.229119689665,0.150861041666667,1,4095.74943627599,301,1615,135,25,0,4,42,3030.52387805227,1065.22555822372,0,0
18,base,,12,10,12,7289.16776817067,607.430647347556,0.133952458333333,1,4751.16776817066,360,1905,273,25,0,8,39,2996.72940101397,1754.43836715669,NaN,NaN
18,split,,12,10,12,7194.86698831595,599.572249026329,0.134009125,1,4753.86698831595,358,1900,183,25,0,5,38,2994.70266424026,1759.16432407569,5,1
19,base,,15,5,15,6571.64256879482,438.109504586321,0.140846833333333,1,4626.64256879482,272,1460,213,25,0,6,45,2684.42249869315,1942.22007010167,NaN,NaN
19,split,,15,5,15,6551.84289979306,436.789526652871,0.147273666666667,1,4626.84289979306,268,1450,207,25,0,6,43,2684.72612293598,1942.11677685708,0,0
20,base,,11,4,11,7144.26297097023,649.478451906385,0.139250125,1,4666.26297097023,349,1855,274,25,0,8,40,3003.74596369061,1662.51700727962,NaN,NaN
20,split,,11,4,11,7060.2573486633,641.84157715121,0.130989416666667,1,4664.25734866331,347,1850,199,25,0,6,39,3007.37214343873,1656.88520522458,2,0
21,base,,15,5,15,7717.21428553731,514.480952369154,0.1529165,1,5457.21428553731,327,1750,183,25,0,4,53,3158.56082513433,2298.65346040298,NaN,NaN
21,split,,15,5,15,7533.2945203912,502.219634692747,0.200630875,1,5335.2945203912,324,1730,144,25,0,3,49,3160.58663460885,2174.70788578235,3,0
22,base,,10,9,10,7538.61781739873,753.861781739873,0.161177166666667,1,4996.61781739873,380,2010,152,25,0,4,38,3296.54238123026,1700.07543616847,NaN,NaN
22,split,,10,9,10,7470.01083144017,747.001083144017,0.127810083333333,1,5002.01083144017,376,2000,92,25,0,2,36,3296.47570985045,1705.53512158972,2,0
23,base,,13,9,13,6857.34997221511,527.488459401162,0.133418416666667,1,4661.34997221511,314,1700,182,25,0,8,38,3156.37651698654,1504.97345522856,NaN,NaN
23,split,,13,9,13,6808.37976228364,523.721520175664,0.135263,1,4660.37976228364,314,1700,134,25,0,6,38,3157.12707922282,1503.25268306082,5,0
24,base,,12,6,12,6629.89797176937,552.491497647448,0.135737791666667,1,4383.89797176937,323,1725,198,25,0,7,46,3044.01252541907,1339.88544635031,NaN,NaN
24,split,,12,6,12,6623.01510413032,551.917925344194,0.148291041666667,1,4383.01510413032,323,1725,192,25,0,6,46,3046.1106535738,1336.90445055652,4,0
25,base,,11,5,11,6706.9477325252,609.722521138655,0.141144208333333,1,4395.9477325252,347,1855,109,25,0,3,39,2954.58490458894,1441.36282793626,NaN,NaN
25,split,,11,5,11,6706.9477325252,609.722521138655,0.174672958333333,1,4395.9477325252,347,1855,109,25,0,3,39,2954.58490458894,1441.36282793626,2,0
26,base,,16,3,16,6543.20018589593,408.950011618495,0.218086166666667,1,4522.20018589593,290,1555,176,25,0,4,65,2813.30435787827,1708.89582801766,NaN,NaN
26,split,,16,3,16,6492.91257001528,405.807035625955,0.174253583333333,1,4524.91257001527,286,1545,137,25,0,2,63,2815.53122006861,1709.38134994666,0,0
27,base,,10,3,10,6958.03459301412,695.803459301412,0.137714291666667,1,4463.03459301412,369,1965,161,25,0,6,27,3061.12796228027,1401.90663073385,NaN,NaN
27,split,,10,3,10,7048.33807018197,704.833807018197,0.135931125,1,4584.33807018197,368,1965,131,25,0,5,26,3062.55105984657,1521.7870103354,3,1
